TicketID,ProductID,ProblemDescription
INC018_1,P18,malware infection detected across management network with lateral movement observed between control systems  unusual traffic patterns and suspicious authentication requests identified by security monitoring systems
INC019_1,P19,complete failure of vpn tunnels connecting all remote offices to headquarters  remote users unable to access internal resources  attempts to establish new vpn connections result in authentication handshake failures
INC020_1,P20,web application servers exhibiting gradually degrading performance over 48 hours until complete unresponsiveness  application response times exceeding sla thresholds and transaction failures increasing
INC021_1,P21,core network services experiencing complete packet loss  transport layer connectivity failing between major network segments  critical business applications unreachable for all users
INC022_1,P22,data center experiencing complete power loss with backup generator failing to engage automatically  all systems on emergency battery power with limited runtime  critical applications at risk of imminent shutdown
INC023_1,P23,departmental network segments experiencing inconsistent connectivity and intermittent vlan isolation  users reporting inability to access cross department resources while maintaining connectivity within their own department
INC024_1,P24,broadcast storm detected in access layer causing complete saturation of uplinks and widespread connectivity issues across campus network  network monitoring showing extreme bandwidth utilization on multiple segments
INC025_1,P25,multiple secure services and websites showing certificate errors  users unable to establish secure connections to critical applications  web browsers displaying security warnings preventing access to company resources
INC026_1,P26,complete storage network outage affecting all virtualized workloads  virtual machines experiencing disk i o errors and application failures  multiple critical business systems unavailable
INC027_1,P27,link aggregation groups between core and distribution layer failing  causing asymmetric routing and inconsistent application connectivity  users reporting varying application performance depending on network path selected
INC028_1,P28,dns resolution failures affecting internal application access  inconsistent name resolution causing sporadic service availability issues  some users able to access resources while others cannot reach the same targets
INC029_1,P29,internet gateway congestion causing severe performance degradation for all external facing services and user internet access  web browsing extremely slow and cloud application access timing out
INC030_1,P30,routing protocol convergence issues causing increased latency and intermittent packet loss across multiple network segments  applications experiencing timeouts during network state changes
INC031_1,P31,security appliances incorrectly blocking legitimate traffic causing application failures and customer facing service disruptions  multiple business applications experiencing connectivity failures after recent security update
INC032_1,P32,voice services completely unavailable  incoming and outgoing calls failing  uc platform reporting sip trunk registration failures  users unable to make or receive any calls through the corporate voice system
INC033_1,P33,video distribution services experiencing packet loss and stuttering playback  corporate training videos and webcasts showing poor quality and frequent buffering  users reporting inconsistent viewing experience
INC034_1,P34,data center top of rack switches failing causing vm connectivity loss  multiple server racks reporting network unavailable  critical production workloads offline
INC035_1,P35,complete loss of internet connectivity affecting all locations  external resources unreachable and remote users unable to connect to corporate network  all internet dependent services unavailable
INC036_1,P36,wan connectivity issues between headquarters and branch locations  mpls service reporting path unavailability  business applications timing out for branch users
INC037_1,P37,voice quality issues reported across multiple locations  users experiencing call drops  one way audio  and excessive jitter  customer complaints increasing due to poor call quality
INC038_1,P38,multiple users unable to connect to network resources  authentication failures occurring across wired and wireless networks  security logs showing device authentication errors
INC039_1,P39,critical network links between data centers failing despite redundant connections  applications experiencing timeouts and database replication errors  disaster recovery capabilities compromised
INC040_1,P40,authentication systems rejecting valid user credentials with time related errors  kerberos authentication failing with clock skew errors  multiple applications experiencing access issues
INC041_1,P41,network management system showing devices offline despite actual availability  intermittent device failures and reboots occurring after firmware upgrade  configuration changes not applying correctly
INC042_1,P42,real time applications experiencing excessive jitter and packet loss  voice and video quality degraded below acceptable levels  business impact increasing with customer complaints
INC043_1,P43,users reporting network connectivity issues with specific devices  ip address conflicts detected on multiple network segments  intermittent connection drops occurring throughout the day
INC044_1,P44,web application performance degraded with inconsistent response times  monitoring shows uneven load distribution across application servers  one server at 87  utilization while others below 20
INC045_1,P45,network configuration changes applying inconsistently across infrastructure  some devices receiving correct configuration while others remain in previous state  service impact increasing with configuration drift
INC046_1,P46,network administrators unable to access equipment management interfaces  critical configuration changes cannot be applied  emergency access procedures not functioning
INC047_1,P47,wireless network outage affecting all corporate locations  users unable to connect to wifi  guest and corporate networks both unavailable  mobile device users completely disconnected
INC048_1,P48,network operations team not receiving critical alerts  performance degradation undetected until user reports  multiple incidents occurring without proactive notification
INC049_1,P49,users experiencing intermittent connectivity issues to ipv6 enabled applications  connection timeouts occurring for large data transfers  applications function normally over ipv4 but fail with ipv6
INC050_1,P50,multiple data center interconnect circuits reporting degraded optical power levels  application performance degrading between sites  backup circuits showing similar issues
